"Table_Number","Year","Measure","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG4A.5","2024","Children assessed as developmentally on track in all five domains of the AEDC","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Least disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","62.1","63.1","61.1","62.3","61.3","60.9","47.3","50.3","61.4"
"CtG4A.5","2021","Children assessed as developmentally on track in all five domains of the AEDC","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Most disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","32.2","29.8","29.2","26.1","27.0","33.7","np","8.6","28.4"
"CtG4A.5","2021","Children assessed as developmentally on track in all five domains of the AEDC","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Second most disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","40.2","33.9","34.9","30.1","31.9","39.7","33.3","27.0","35.8"
"CtG4A.5","2021","Children assessed as developmentally on track in all five domains of the AEDC","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Middle 20%","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","45.1","39.2","39.2","34.1","42.2","44.0","26.5","32.4","40.3"
"CtG4A.5","2021","Children assessed as developmentally on track in all five domains of the AEDC","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Second least disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","48.6","47.2","39.8","40.2","39.2","50.0","25.0","33.8","43.1"
"CtG4A.5","2021","Children assessed as developmentally on track in all five domains of the AEDC","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Least disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","51.9","47.3","45.7","50.4","52.4","60.0","28.8","35.7","47.7"
"CtG4A.5","2021","Children assessed as developmentally on track in all five domains of the AEDC","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Most disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","46.2","43.8","43.0","49.5","44.5","45.2","30.6","43.3","45.0"
"CtG4A.5","2021","Children assessed as developmentally on track in all five domains of the AEDC","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Second most disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","53.2","52.2","49.5","55.2","53.3","51.8","37.8","50.3","52.3"
"CtG4A.5","2021","Children assessed as developmentally on track in all five domains of the AEDC","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Middle 20%","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","57.0","59.0","54.3","59.2","56.6","58.1","42.7","49.6","57.0"
"CtG4A.5","2021","Children assessed as developmentally on track in all five domains of the AEDC","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Second least disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","61.2","62.2","57.3","61.4","60.9","61.6","45.6","49.3","60.2"
"CtG4A.5","2021","Children assessed as developmentally on track in all five domains of the AEDC","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Least disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","63.6","67.0","61.7","67.3","65.1","67.6","52.9","52.6","63.9"
"CtG4A.5","2018","Children assessed as developmentally on track in all five domains of the AEDC","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Most disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","37.2","29.1","29.2","23.7","24.4","33.1","np","8.6","29.5"
"CtG4A.5","2018","Children assessed as developmentally on track in all five domains of the AEDC","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Second most disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","44.4","36.4","34.2","31.4","30.6","37.8","18.8","28.9","37.2"
"CtG4A.5","2018","Children assessed as developmentally on track in all five domains of the AEDC","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Middle 20%","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","46.0","37.3","40.2","38.2","43.5","48.8","20.0","31.7","41.3"
"CtG4A.5","2018","Children assessed as developmentally on track in all five domains of the AEDC","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Second least disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","48.0","45.5","40.5","47.0","38.6","52.0","19.6","41.2","44.1"
"CtG4A.5","2018","Children assessed as developmentally on track in all five domains of the AEDC","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Least disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","59.5","46.8","40.1","37.5","47.4","33.3","37.9","47.6","47.8"
"CtG4A.5","2018","Children assessed as developmentally on track in all five domains of the AEDC","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Most disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","48.6","44.7","41.9","49.4","43.9","47.3","49.3","59.8","45.9"
"CtG4A.5","2018","Children assessed as developmentally on track in all five domains of the AEDC","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Second most disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","55.1","53.8","49.4","56.0","53.2","53.5","50.5","48.4","53.3"
"CtG4A.5","2018","Children assessed as developmentally on track in all five domains of the AEDC","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Middle 20%","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","58.7","58.8","52.7","58.7","56.2","60.8","45.6","50.4","57.1"
"CtG4A.5","2018","Children assessed as developmentally on track in all five domains of the AEDC","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Second least disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","61.9","62.2","55.7","62.3","61.3","65.5","46.4","53.0","60.3"
"CtG4A.5","2018","Children assessed as developmentally on track in all five domains of the AEDC","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Least disadvantaged","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","64.4","66.9","60.3","66.6","64.0","68.8","52.3","61.6","64.0"
"CtG4A.6","2024","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","All people","Aboriginal and Torres Strait Islander people","All areas","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","Proportion of all children in their first year of schooling included in the AEDC","","Aboriginal and Torres Strait Islander children","Children with special needs status","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","12.1","13.7","9.5","6.9","14.5","13.7","8.3","7.9","10.7"
"CtG4A.6","2024","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","All people","Aboriginal and Torres Strait Islander people","All areas","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","Proportion of all children in their first year of schooling included in the AEDC","","Aboriginal and Torres Strait Islander children","Children needing further assessment","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","31.4","36.6","32.2","35.5","37.3","33.1","47.4","35.7","33.2"
"CtG4A.6","2024","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","All people","Non-Indigenous people","All areas","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","Proportion of all children in their first year of schooling included in the AEDC","","Non-Indigenous children","Children with special needs status","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","6.5","6.6","6.6","4.9","7.3","7.6","4.5","7.2","6.4"
"CtG4A.6","2024","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","All people","Non-Indigenous people","All areas","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","Proportion of all children in their first year of schooling included in the AEDC","","Non-Indigenous children","Children needing further assessment","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","17.3","18.8","20.7","22.3","21.0","22.1","22.1","22.2","19.5"
"CtG4A.6","2021","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","All people","Aboriginal and Torres Strait Islander people","All areas","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","Proportion of all children in their first year of schooling included in the AEDC","","Aboriginal and Torres Strait Islander children","Children with special needs status","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","9.3","9.8","7.6","6.4","13.2","7.6","8.0","7.5","8.5"
"CtG4A.6","2021","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","All people","Aboriginal and Torres Strait Islander people","All areas","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","Proportion of all children in their first year of schooling included in the AEDC","","Aboriginal and Torres Strait Islander children","Children needing further assessment","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","28.5","29.0","28.7","29.0","27.3","22.2","29.4","29.7","28.5"
"CtG4A.6","2021","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","All people","Non-Indigenous people","All areas","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","Proportion of all children in their first year of schooling included in the AEDC","","Non-Indigenous children","Children with special needs status","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","5.0","5.3","4.7","4.1","5.7","5.5","4.3","6.1","5.0"
"CtG4A.6","2021","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","All people","Non-Indigenous people","All areas","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","Proportion of all children in their first year of schooling included in the AEDC","","Non-Indigenous children","Children needing further assessment","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","14.5","14.0","16.9","17.0","16.1","15.2","17.3","21.4","15.4"
"CtG4A.6","2018","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","All people","Aboriginal and Torres Strait Islander people","All areas","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","Proportion of all children in their first year of schooling included in the AEDC","","Aboriginal and Torres Strait Islander children","Children with special needs status","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","7.0","9.9","5.2","4.7","9.0","7.7","7.6","5.5","6.4"
"CtG4A.6","2018","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","All people","Aboriginal and Torres Strait Islander people","All areas","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","Proportion of all children in their first year of schooling included in the AEDC","","Aboriginal and Torres Strait Islander children","Children needing further assessment","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","22.6","26.1","26.4","22.5","24.5","19.4","38.7","24.2","24.3"
"CtG4A.6","2018","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","All people","Non-Indigenous people","All areas","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","Proportion of all children in their first year of schooling included in the AEDC","","Non-Indigenous children","Children with special needs status","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","4.1","5.4","4.0","3.7","4.9","4.3","3.8","3.6","4.4"
"CtG4A.6","2018","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","All people","Non-Indigenous people","All areas","Children in their first year of schooling included in the AEDC; with disability; additional or special needs","Proportion of all children in their first year of schooling included in the AEDC","","Non-Indigenous children","Children needing further assessment","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","11.4","12.1","14.7","12.3","14.3","11.9","13.7","13.7","12.6"
"SE4d.1","2024","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Aboriginal and Torres Strait Islander children","Highly developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","42.7","41.4","36.4","31.0","30.4","40.0","28.3","21.9","37.3"
"SE4d.1","2024","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Aboriginal and Torres Strait Islander children","Well developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","23.8","22.1","23.9","24.8","23.7","26.2","27.2","17.7","23.6"
"SE4d.1","2024","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Aboriginal and Torres Strait Islander children","Emerging strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","33.5","36.5","39.6","44.3","45.9","33.8","44.5","60.4","39.0"
"SE4d.1","2024","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Non-Indigenous children","Highly developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","57.4","57.3","53.6","51.0","54.6","54.3","47.8","47.4","55.3"
"SE4d.1","2024","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Non-Indigenous children","Well developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","21.8","22.3","23.3","24.6","23.2","23.4","27.3","23.2","22.8"
"SE4d.1","2024","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Non-Indigenous children","Emerging strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","20.8","20.4","23.2","24.5","22.2","22.3","24.9","29.4","21.9"
"SE4d.1","2024","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Total number of children in the first year of full-time schooling with a valid 'Multiple Strengths Indicator' score in the AEDC","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","no.","6590","1446","5996","2296","963","585","173","949","18998"
"SE4d.1","2024","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Total number of children in the first year of full-time schooling with a valid 'Multiple Strengths Indicator' score in the AEDC","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","no.","77719","60910","51992","30190","16671","4661","4736","1742","248621"
"SE4d.1","2024","AEDC Multiple Strengths Indicator","All people","Unknown Indigenous status","All areas","Total number of children in the first year of full-time schooling with a valid 'Multiple Strengths Indicator' score in the AEDC","","","Indigenous status not stated children","","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","no.","0","0","0","0","0","0","0","0","0"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Aboriginal and Torres Strait Islander children","Highly developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","43.4","43.6","35.7","32.2","33.9","44.2","33.7","19.2","37.7"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Aboriginal and Torres Strait Islander children","Well developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","23.1","21.3","24.9","24.6","24.2","26.5","23.3","20.0","23.7"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Aboriginal and Torres Strait Islander children","Emerging strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","33.5","35.0","39.4","43.2","41.9","29.3","43.0","60.8","38.6"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Non-Indigenous children","Highly developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","58.4","60.8","53.5","55.9","54.8","59.0","51.2","48.9","57.3"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Non-Indigenous children","Well developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","22.0","21.3","23.7","23.7","23.1","21.5","23.8","25.1","22.5"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Non-Indigenous children","Emerging strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","19.6","17.9","22.8","20.4","22.1","19.5","25.0","26.0","20.2"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Total number of children in the first year of full-time schooling with a valid 'Multiple Strengths Indicator' score in the AEDC","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","no.","6271","1393","5859","2321","942","566","172","991","18515"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Total number of children in the first year of full-time schooling with a valid 'Multiple Strengths Indicator' score in the AEDC","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","no.","84103","67867","55545","31474","17995","5029","5360","1981","269354"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Unknown Indigenous status","All areas","Total number of children in the first year of full-time schooling with a valid 'Multiple Strengths Indicator' score in the AEDC","","","Indigenous status not stated children","","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","no.","0","0","0","0","0","0","0","0","0"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Aboriginal and Torres Strait Islander children","Highly developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","47.3","41.4","35.9","31.7","33.6","46.8","35.8","22.3","39.0"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Aboriginal and Torres Strait Islander children","Well developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","22.6","21.6","24.2","25.7","25.4","23.9","19.5","19.3","23.3"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Aboriginal and Torres Strait Islander children","Emerging strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","30.1","37.0","40.0","42.6","40.9","29.4","44.7","58.4","37.6"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Non-Indigenous children","Highly developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","61.4","61.9","52.9","56.9","56.0","60.3","54.6","54.9","58.7"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Non-Indigenous children","Well developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","20.6","20.8","23.0","23.9","22.1","22.6","23.7","22.7","21.7"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Non-Indigenous children","Emerging strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","18.0","17.3","24.1","19.2","22.0","17.1","21.8","22.4","19.6"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Total number of children in the first year of full-time schooling with a valid 'Multiple Strengths Indicator' score in the AEDC","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","no.","5986","1291","5416","2184","892","524","159","1080","17532"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Total number of children in the first year of full-time schooling with a valid 'Multiple Strengths Indicator' score in the AEDC","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","no.","87521","70568","56401","30698","18275","5321","5124","2102","276010"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Unknown Indigenous status","All areas","Total number of children in the first year of full-time schooling with a valid 'Multiple Strengths Indicator' score in the AEDC","","","Indigenous status not stated children","","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","no.","8","0","0","0","0","0","201","0","209"
